Data Point / Feature	VSS	Primary Use Case 	Recommended Sampling
GPS	Vehicle.CurrentLocation.{Timestamp,Latitude,Longitude,Altitude}	- Real time asset tracking - Ensure timely arrivals and departures - Ensure efficient number of stops - Route Optimization - Understand and improve asset utilization	1Hz
Heartbeat (vehicle data or a notification of health while ignition is off)	N/A? - bring to VSS Expert Group or choose an arbitrary data point such as VIN as response 	- Ensure assets are connected	1.1574074074074E-5Hz
Ignition status	Vehicle.LowVoltageSystemState	- Reduce inefficiencies by detecting idling	CHANGE
Door Status (FL, FR, RL, RR, Cargo, other doors)	Vehicle.Cabin.Door.*.*.{IsLocked,isOpen}	- Shared mobility:     - Reduce costs and inefficiencies     - Improved utilization of assets     - Protect your assets	CHANGE
VIN	Vehicle.VehicleIdentification.VIN	- Ensure assets are identified correctly	Vehicle.LowVoltageSystemState='START'
GPS	Vehicle.CurrentLocation.{Timestamp,Latitude,Longitude,Altitude}	- Inventory management (detect & manage vehicle within zones)	1Hz
Odometer	Vehicle.TraveledDistance	- Setup maintenance reminders based on distance	Vehicle.LowVoltageSystemState='START'
Distance to service	Vehicle.Service.DistanceToService	- Setup maintenance reminders based on distance	Vehicle.LowVoltageSystemState='START'
Battery voltage	Vehicle.LowVoltageBattery.CurrentVoltage	- Detect and manage battery drain issues	0.033333333333333Hz
Faults / DTCs / Warnings	**only in OBD.vspec which is slated to be deprecated, agreement to provide DTC in tree	- Detect issues early to prevent downtime or major breakdowns	CHANGE
Engine Warning Light	Vehicle.OBD.Status.IsMILOn	- Detect issues early to prevent downtime or major breakdowns	Vehicle.OBD.Status.IsMILOn=true
High Engine Temp warning		- Detect issues early to prevent downtime or major breakdowns	
Oil pressure warning		- Detect issues early to prevent downtime or major breakdowns	
Tire Pressure	Vehicle.Chassis.Axle.Row{n}.Wheel.{Left, Right}.Tire.Pressure	- Detect and manage low / high tire pressure situations	0.0033333333333333Hz
Engine oil pressure	Vehicle.Powertrain.CombustionEngine.EOP	- Ensure appropriate engine oil pressure to prevent engine damage	0.0033333333333333Hz
Engine speed (rpm)	Vehicle.Powertrain.CombusitionEngine.Speed	- Prevent vehicle wear and tear from over-revving	0.033333333333333Hz
Oil life remaining	Vehicle.Powertrain.CombusitionEngine.OilLifeRemaining	- Detect low oil life & scheduling maintenance	Vehicle.LowVoltageSystemState='START'
Oil level	Vehicle.Powertrain.CombustionEngine.EngineOilLevel	- Detect low oil level & scheduling maintenance	Vehicle.LowVoltageSystemState='START'
Engine hours	Vehicle.Powertrain.CombustionEngine.EngineHours	- Setup maintenance reminders based on engine hours	Vehicle.LowVoltageSystemState='START'
Time to service / oil change / transmission oil change	Vehicle.Service.IsServiceDue	- Setup maintenance reminders based on engine hours	Vehicle.Service.IsServiceDue=true
Total engine idle time	Vehicle.Powertrain.CombustionEngine.IdleHours	- Reduce time of asset used under idling situations	Vehicle.LowVoltageSystemState='START'
Engine Coolant Temp	Vehicle.Powertrain.CombustionEngine.ECT	- Detect and manage abnormal temp events	0.0033333333333333Hz
Battery Temp	Vehicle.Powertrain.TractionBattery.Temperature	- Detect and manage abnormal temp events	0.0033333333333333Hz
Coolant Level	Vehicle.Powertrain.CombustionEngine.EngineCoolant.Level	- Detect and manage abnormal coolant levels	0.0033333333333333Hz
DEF Level / Adblue	Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid.Level	- Detect and manage abnormal DEF levels	0.0033333333333333Hz
Cranking Voltage	Vehicle.LowVoltageBattery.CurrentVoltage when Vehicle.LowVoltageSystemState='START'	- Predictive maintenance by detecting electrical system health	100Hz* conditional logic, repeat for 5 seconds after Vehicle.LowVoltageSystemState='START'
Battery voltage	Vehicle.LowVoltageBattery.CurrentVoltage	- Predictive maintenance by detecting electrical system health	0.033333333333333Hz
Headlight, Tail light, Turn signal light, Hazard light, windshield wipers	Vehicle.Body.Lights.*.IsDefect Vehicle.Body.Windshield.Front.Wiping.System.IsBlocked Vehicle.Body.Windshield.Front.Wiping.System.IsOverheated Vehicle.Body.Windshield.Front.Wiping.System.IsWiperError	- Vehicle light and wiper health status	Vehicle.LowVoltageSystemState='START'
Ignition status	Vehicle.LowVoltageSystemState	- Reduce the risk of HOS (ELD) violations and errors - Gain peace of mind with Hours of Service visibility	CHANGE
Road speed	Vehicle.Speed	- Reduce the risk of HOS (ELD) violations and errors - Gain peace of mind with Hours of Service visibility	0.066666666666667 Hz
