Pillar,Use case #,Primary Use Case ,Data Point / Feature,VSS,PGN (hex),SPN,Recommended Sampling,Recommended Sampling / Data Reporting Logic (description),Curve error threshold* when applicable,Importance for use case,Geotab ID,Comments
Productivity,PRODUCTIVITY01,"- Real time asset tracking
- Ensure timely arrivals and departures
- Ensure efficient number of stops
- Route Optimization
- Understand and improve asset utilization",GPS,"Vehicle.CurrentLocation.{Timestamp,Latitude,Longitude,Altitude}",N/A,N/A,1Hz,"Ideal: smart/curve logic (https://github.com/Geotab/curve) to detect significant change in speed and/or direction and send corresponding data points
If smart logging isn't available, 1 Hz",see code - uses calculated distance instead of coordinates and 1.8km as error threshold,Must Have,GPS Record,
Productivity,PRODUCTIVITY02,- Ensure assets are connected,Heartbeat (vehicle data or a notification of health while ignition is off),N/A? - bring to VSS Expert Group or choose an arbitrary data point such as VIN as response ,N/A,N/A,1.1574074074074E-5Hz,"Ideal: Every 23 Hours
Min: Any vehicle data signal Every 24 Hours",,Must Have,N/A,
Productivity,PRODUCTIVITY03,- Reduce inefficiencies by detecting idling,Ignition status,Vehicle.LowVoltageSystemState,0xFCC2,7315,CHANGE,Event Based: Every time status changes. Must indicate whether the vehicle is in On/Off/Accessory mode or consider accessory mode as Ignition OFF.,,Must Have,10000,
Productivity,PRODUCTIVITY04,"- Shared mobility:
    - Reduce costs and inefficiencies
    - Improved utilization of assets
    - Protect your assets","Door Status (FL, FR, RL, RR, Cargo, other doors)","Vehicle.Cabin.Door.*.*.{IsLocked,isOpen}",0xFDA5,,CHANGE,Event Based: Every time status changes.,,Must Have,2066 to 2075,
Maintenance,MAINTENANCE01,- Ensure assets are identified correctly,VIN,Vehicle.VehicleIdentification.VIN,0xFEEC,237,Vehicle.LowVoltageSystemState='START',Once a day,,Must Have,VIN Record,
Maintenance,MAINTENANCE02,- Inventory management (detect & manage vehicle within zones),GPS,"Vehicle.CurrentLocation.{Timestamp,Latitude,Longitude,Altitude}",N/A,N/A,1Hz,"Ideal: smart/curve logic (https://github.com/Geotab/curve) to detect significant change in speed and/or direction and send corresponding data points
If smart logging isn't available, 1 Hz",see row 2,Must Have,GPS Record,
Maintenance,MAINTENANCE03,- Setup maintenance reminders based on distance,Odometer,Vehicle.TraveledDistance,0xFEC1,917,Vehicle.LowVoltageSystemState='START',Min: Every ignition event,,Must Have,5,
Maintenance,MAINTENANCE03,- Setup maintenance reminders based on distance,Distance to service,Vehicle.Service.DistanceToService,0xFEC0,914,Vehicle.LowVoltageSystemState='START',Min: Every ignition event,,Should Have,2676,May be determined by user input and Odometer
Maintenance,MAINTENANCE04,- Detect and manage battery drain issues,Battery voltage,Vehicle.LowVoltageBattery.CurrentVoltage,,,0.033333333333333Hz,"Ideal: smart/curve logic  to detect and notify about significant change in data point
If smart logging isn't available, every 30 seconds",0.894V*,Must Have,9999,
Maintenance,MAINTENANCE05,- Detect issues early to prevent downtime or major breakdowns,Faults / DTCs / Warnings,"**only in OBD.vspec which is slated to be deprecated, agreement to provide DTC in tree",0xFECA,NA,CHANGE,Event Based: Every time status changes,,Must Have,Fault Record,
