Change,Pillar,Use case #,Primary Use Cases,Data Point/Feature,VHAL 14+,SOVD/Diagnostics,VSS,Priority - SAE levels and campaigns,Proposed VSS,PGN,SPN,Recommended Sampling,Recommended Sampling/Data Reporting Logic (description),Importance for use case,Notes
New,Safety,SAFETY13,Detect near accident events for safety coaching and improvements,Lane departure enabled status,android-14.0.0_r11 / . / automotive / vehicle / aidl_property / android / hardware / automotive / vehicle / VehicleProperty.aidl LANE_DEPARTURE_WARNING_ENABLED,,Vehicle.ADAS.LaneDepartureDetection.IsEnabled,1,,0xFE5B,1702,CHANGE,Event Based: Every time status changes,Must Have,
New,Safety,SAFETY04,Reduce accidents via accurate understanding of accident events,Vertical acceleration,,,Vehicle.Acceleration.Vertical,1,,0xF02D,5349,20-50 Hz,"Event based: Every time any accelerometer (vertical, lateral, longitudinal) threshold (base value +/- 0.2 G) is breached and at least 20 Hz for the duration it stays above that threshold",Must Have,
New,Safety,SAFETY04,Reduce accidents via accurate understanding of accident events,Yaw gyroscope, ,,Vehicle.AngularVelocity.Yaw,2,,0xF009,1808,20-50 Hz,"Event based: Every time any accelerometer (vertical, lateral, longitudinal) threshold (base value +/- 0.2 G) is breached and at least 20 Hz for the duration it stays above that threshold",Must Have,
New,Safety,SAFETY04,Reduce accidents via accurate understanding of accident events,Pitch gyroscope,,,Vehicle.AngularVelocity.Pitch,2,,0xFEE8,583,20-50 Hz,"Event based: Every time any accelerometer (vertical, lateral, longitudinal) threshold (base value +/- 0.2 G) is breached and at least 20 Hz for the duration it stays above that threshold",Must Have,
New,Safety,SAFETY04,Reduce accidents via accurate understanding of accident events,Roll gyroscope,,,Vehicle.AngularVelocity.Roll,2,,0xF013,3318,20-50 Hz,"Event based: Every time any accelerometer (vertical, lateral, longitudinal) threshold (base value +/- 0.2 G) is breached and at least 20 Hz for the duration it stays above that threshold",Must Have,
New,Safety,SAFETY04,Reduce accidents via accurate understanding of accident events,Magnometer,,,Vehicle.CurrentLocation.Heading,1,,,,20-50 Hz,"Event based: Every time any accelerometer (vertical, lateral, longitudinal) threshold (base value +/- 0.2 G) is breached and at least 20 Hz for the duration it stays above that threshold",Must Have,"Acelerometer or magnometer? Former useful for driver behavior, accident detection etc, latter if present could be an early warning of proximity to another vehicle. Elevation - part of GPS? MOTER to clarify"
New,Safety,SAFETY13,Detect near accident events for safety coaching and improvements,Blind spot detection enabled,"android-14.0.0_r11 / . / automotive / vehicle / aidl_property / android / hardware / automotive / vehicle / VehicleProperty.aidl BLIND_SPOT_WARNING_ENABLED, android-14.0.0_r11 / . / automotive / vehicle / aidl_property / android / hardware / automotive / vehicle / BlindSpotWarningState.aidl",,Vehicle.ADAS.ObstacleDetection.*.*.IsEnabled,1;Obstacle,,0xF206,12286,CHANGE,Event based: Every time status changes,Must Have,"P1 for Ted, probably need object detection section in ADAS and include forward distance/time gap"
New,Safety,SAFETY13,Detect near accident events for safety coaching and improvements,Blind spot detection status,"android-14.0.0_r11 / . / automotive / vehicle / aidl_property / android / hardware / automotive / vehicle / VehicleProperty.aidl BLIND_SPOT_WARNING_STATE, android-14.0.0_r11 / . / automotive / vehicle / aidl_property / android / hardware / automotive / vehicle / BlindSpotWarningState.aidl",,Vehicle.ADAS.ObstacleDetection.*.*.WarningType=BLIND_SPOT,1;Obstacle,,0xF206,12287/12288,CHANGE,Event based: Every time status changes,Must Have,"P1 for Ted, also interventions (not only warning) would be of interest (Stefan)"
New,Safety,SAFETY13,Detect near accident events for safety coaching and improvements,Right turn signal status,"android-14.0.0_r11 / . / automotive / vehicle / aidl_property / android / hardware / automotive / vehicle / VehicleProperty.aidl TURN_SIGNAL_STATE, android-14.0.0_r11 / . / automotive / vehicle / aidl_property / android / hardware / automotive / vehicle / VehicleTurnSignal.aidl",,Vehicle.Body.Lights.DirectionIndicator.Right.IsSignaling,1,,0xFE40,2370,CHANGE,Event based: Every time status changes,Must Have,Turn Signals: UNECE R160
New,Safety,SAFETY13,Detect near accident events for safety coaching and improvements,Left turn signal status,"android-14.0.0_r11 / . / automotive / vehicle / aidl_property / android / hardware / automotive / vehicle / VehicleProperty.aidl TURN_SIGNAL_STATE, android-14.0.0_r11 / . / automotive / vehicle / aidl_property / android / hardware / automotive / vehicle / VehicleTurnSignal.aidl",,Vehicle.Body.Lights.DirectionIndicator.Left.IsSignaling,1,,0xFE40,2370,CHANGE,Event based: Every time status changes,Must Have,
New,Safety,SAFETY13,Detect near accident events for safety coaching and improvements,Lane line type,,,Not in VSS,3,,0xFC2A,8143/8144,CHANGE,Event based: Every time lane departure status changes,Must Have,"GIS, Sensoris or other? Regional variation. Line detection or regulation - MOTER to clarify"
New,Safety,SAFETY13,Detect near accident events for safety coaching and improvements,Distance to collision,android-14.0.0_r11 / . / automotive / vehicle / aidl_property / android / hardware / automotive / vehicle / VehicleProperty.aidl ADAPTIVE_CRUISE_CONTROL_LEAD_VEHICLE_MEASURED_DISTANCE ,,Vehicle.ADAS.ObstacleDetection.Front.*.Distance,1;Obstacle,,0xFE6F,1587,5-10 Hz,"Event based: every time TTC threshold (5 seconds) is breached, and at least 5 Hz for the duration it stays above that threshold",Must Have,May also want a common concept of tailgating - distance based on road speed - can be subjective and derived in cloud from speed and distance data collection
New,Safety,SAFETY13,Detect near accident events for safety coaching and improvements,Time to collision,,,Vehicle.ADAS.ObstacleDetection.Front.*.TimeGap,1;Obstacle,,0xF206,5680,5-10 Hz,"Event based: every time threshold (5 seconds) is breached, and at least 5 Hz for the duration it stays above that threshold",Must Have,Could be derived based on speed and distance to object but requested as a raw signal https://github.com/COVESA/vehicle_signal_specification/pull/770
New,Safety,SAFETY13,Detect near accident events for safety coaching and improvements,Forward object speed,,,Not in VSS,2;Obstacle,,0xFE6F,1586,5-10 Hz,"Event based: every time TTC threshold (5 seconds) is breached, and at least 5 Hz for the duration it stays above that threshold",Must Have,Derivable - change in adpative or EBA distance. If calculation common and exists in vehicle would rather have that signal - Daniel Alvarez (BMW) suggested we look at other efforts like https://www.asam.net/standards/asam-openxontology/
New,Safety,SAFETY04,Reduce accidents via accurate understanding of accident events,Forward object type,,,Not in VSS,3;Obstacle,,,,CHANGE,Event based: every time TTC threshold (5 seconds) is breached,Must Have,"Can we leverage Sensoris and engage HERE in COVESA? Is there SAE, Or are there Sensoris or other object definitons we can leverage. May be an array of objects when combined increase risk eg pedestrians and school bus **Raise as an issue to VSS call, do not stage pull request. "
New,Safety,SAFETY04,Reduce accidents via accurate understanding of accident events,Road type,,,Not in VSS,3,,,,1/60 Hz,Event based: every time status changes,Must Have,"GIS or based on sensors. Primary - interstates; Secondary - state/county highways, parkways; Surface roads other such as gravel and dirt cf OpenStreetMaps"
New,Safety,SAFETY04,Reduce accidents via accurate understanding of accident events,Headlight status,"android-14.0.0_r11 / . / automotive / vehicle / aidl_property / android / hardware / automotive / vehicle / VehicleProperty.aidl HEADLIGHTS_STATE HIGH_BEAM_LIGHTS_STATE FOG_LIGHTS_STATE HEADLIGHTS_SWITCH HIGH_BEAM_LIGHTS_SWITCH FOG_LIGHTS_SWITCH , android-14.0.0_r11 / . / automotive / vehicle / aidl_property / android / hardware / automotive / vehicle / VehicleLightSwitch.aidl android-14.0.0_r11 / . / automotive / vehicle / aidl_property / android / hardware / automotive / vehicle / VehicleLightState.aidl",,Vehicle.Body.Lights.Beam.Low.IsOn,1,,0xFE40,2348 / 2350 / 2352,CHANGE,Event based: Every time status changes,Must Have,
New ,Safety,SAFETY13,Detect near accident events for safety coaching and improvements,Electronic stability control status,,,Vehicle.ADAS.ESC.IsEnabled,1,,,,CHANGE,Event Based: Every time status changes,Must Have,
New ,Safety,SAFETY13,Detect near accident events for safety coaching and improvements,Electronic stability control status,,,Vehicle.ADAS.ESC.IsEngaged,1,,,,CHANGE,Event Based: Every time status changes  ,Must Have,
