category,usecase,Use Case ,Data Point / Feature,VSS,J1939,sampling,Recommended sampling,importance,Comment
Productivity,PRODUCTIVITY01,"- Real time asset tracking
- Ensure timely arrivals and departures
- Ensure efficient number of stops
- Route Optimization
- Understand and improve asset utilization",GPS,"Vehicle.CurrentLocation.{Timestamp,Latitude,Longitude,Altitude}",,1Hz,"Ideal: smart/curve logic (https://github.com/Geotab/curve) to detect significant change in speed and/or direction and send corresponding data points
If smart logging isn't available, 1 Hz",MUST,
Productivity,PRODUCTIVITY02,- Ensure assets are connected,Heartbeat (vehicle data or a notification of health while ignition is off),N/A? - bring to VSS Expert Group or choose an arbitrary data point such as VIN as response ,,1.1574074074074E-5Hz,Min: Every 23 Hours,MUST,
Productivity,PRODUCTIVITY03,- Reduce inefficiencies by detecting idling,Ignition status,Vehicle.LowVoltageSystemState,,CHANGE,Event Based: Every time status changes. Must indicate whether the vehicle is in On/Off/Accessory mode or consider accessory mode as Ignition OFF.,MUST,Ford might have an issue with this in the future due to EV's moving away from the concept of ignition - TBD with DEG once we work out what is needed for certain use-case sampling campaigns
Productivity,PRODUCTIVITY04,"- Shared mobility:
    - Reduce costs and inefficiencies
    - Improved utilization of assets
    - Protect your assets",Door Status,Vehicle.Cabin.Door.Row.DriverSide (assuming we only want the driver door),,CHANGE,Event Based: Every time status changes.,MUST,"Puneet Sharma do we just want driver door status, eg closed/locked or all doors?"
Optimization / Maintenance,MAINTENANCE01,- Ensure assets are identified correctly,VIN,Vehicle.VehicleIdentification.VIN,,Vehicle.LowVoltageSystemState='START',Once a day,MUST,
Optimization / Maintenance,MAINTENANCE02,- Inventory management (detect & manage vehicle within zones),GPS,"Vehicle.CurrentLocation.{Timestamp,Latitude,Longitude,Altitude}",,1Hz,"Ideal: smart/curve logic (https://github.com/Geotab/curve) to detect significant change in speed and/or direction and send corresponding data points
If smart logging isn't available, 1 Hz",MUST,
Optimization / Maintenance,MAINTENANCE03,- Detect asset issues and schedule maintenance,Check Engine Light - Status,Vehicle.OBD.Status.IsMILOn**,,CHANGE,Event Based: Every time status changes,SHOULD,"May also be determined by Faults / DTCs / Warnings. OBD slated for deprecation in VSS, need to address in group"
Optimization / Maintenance,MAINTENANCE04,- Setup maintenance reminders based on distance,Odometer,Vehicle.TraveledDistance,,Vehicle.LowVoltageSystemState='START',Min: Every ignition event,MUST,
Optimization / Maintenance,MAINTENANCE04,- Setup maintenance reminders based on distance,Distance to service,Vehicle.Service.DistanceToService,,Vehicle.LowVoltageSystemState='START',Min: Every ignition event,SHOULD,May be determined by user input and Odometer
Optimization / Maintenance,MAINTENANCE05,- Detect and manage battery drain issues,Battery voltage,Vehicle.LowVoltageBattery.CurrentVoltage,,0.033333333333333Hz,"Ideal: smart/curve logic  to detect and notify about significant change in data point
If smart logging isn't available, every 30 seconds",MUST,
Optimization / Maintenance,MAINTENANCE06,- Identify maintenance needs early to prevent downtime or major breakdowns,Maintenance reminders,Vehicle.Service.IsServiceDue,,CHANGE,Event Based: Every time status changes,SHOULD,"May be determined by time, distance or engine hours data"
Optimization / Maintenance,MAINTENANCE07,- Detect issues early to prevent downtime or major breakdowns,Faults / DTCs / Warnings,"**only in OBD.vspec which is slated to be deprecated, agreement to provide DTC in tree",,CHANGE,Event Based: Every time status changes,MUST,
Optimization / Maintenance,MAINTENANCE08,- Detect and manage low / high tire pressure situations,Tire Pressure,"Vehicle.Chassis.Axle.Row{n}.Wheel.{Left, Right}.Tire.Pressure",,0.0033333333333333Hz,"Ideal: smart/curve logic  to detect and notify about significant change in data point
If smart logging isn't available, every 5 minutes",MUST,
Optimization / Maintenance,MAINTENANCE09,- Ensure appropriate engine oil pressure to prevent engine damage,Engine oil pressure,Vehicle.Powertrain.CombustionEngine.EOP,,0.0033333333333333Hz,"Ideal: smart/curve logic  to detect and notify about significant change in data point
If smart logging isn't available, every 5 minutes",MUST,
